building_id,efficiency_score,energy_intensity,annual_consumption_kwh,square_feet,primary_use
1326,12.121212121212125,41.85799495516835,1966530.4609887642,46981,6
28,12.121212121212125,45.783192491349055,2424540.524764372,52957,6
767,12.307692307692307,43.684216940312,3059729.922933333,70042,6
873,12.307692307692307,40.9210354491555,1642652.2049999998,40142,6
1106,12.307692307692307,33.58101224488402,3092777.6467415732,92099,6
1157,12.328767123287676,38.515070005297304,1429178.702686567,37107,0
1370,12.5,29.597009494194314,141266.52631578947,4773,0
394,12.5,58.07534349306822,205877.09268292683,3545,1
800,12.5,33.00343902734006,2131461.102702703,64583,0
381,12.5,69.92889810706502,129927.8926829268,1858,1
121,12.5,31.93226968826088,4799994.914999999,150318,0
1043,12.5,40.18163085292204,1120625.5028571428,27889,6
67,12.5,23.877896758092444,583957.8431159088,24456,4
651,12.5,1.333263723296531,408165.35625,306140,8
1382,12.5,14.376280263131909,3494471.1961199995,243072,9
1092,12.698412698412696,29.23444718628948,3074499.1072405055,105167,6
115,12.7659574468085,31.828336644122786,4128644.5161290313,129716,0
954,12.7659574468085,21.97342871893328,6706817.807307691,305224,0
1373,12.903225806451616,33.27599383418104,3508421.1339130434,105434,0
1078,13.043478260869563,42.28269847584475,3401135.6999999997,80438,1
585,13.333333333333329,12.96544982934183,1716547.7647058822,132394,9
834,13.333333333333329,37.866726743007696,186834.42974999998,4934,9
211,13.402061855670098,30.659840591128933,1484273.5428571429,48411,0
782,13.475177304964532,31.699388907542236,4100125.758857143,129344,0
1230,13.513513513513516,44.58742777930079,1004287.223300971,22524,6
445,13.75,34.586490842490846,1416316.8,40950,0
409,13.75,36.15496896787423,1391966.305263158,38500,0
4,13.907284768211923,31.274658930259793,3646844.153880804,116607,0
1288,13.91304347826086,31.683430239347846,5202609.345882352,164206,0
1259,13.986013986013987,32.36427015197193,2300711.2365633803,71088,0
1273,14.0625,27.027850070612647,2813301.886,104089,6
122,14.102564102564102,30.482619100117226,2531368.137931035,83043,0
827,14.285714285714292,49.1258437777328,286845.8018181818,5839,6
33,14.285714285714292,27.41072016310269,1060411.1202297907,38686,4
1179,14.285714285714292,23.527954980869662,3369861.936,143228,1
126,14.285714285714292,43.423675447074864,935302.5454545454,21539,0
1360,14.285714285714292,24.536117020084284,2736513.13125,111530,1
526,14.285714285714292,26.300936354112103,200833.95,7636,9
1318,14.285714285714292,37.293832177024946,2740649.1390252095,73488,1
1304,14.516129032258064,32.77371762264696,2994305.1631578943,91363,6
294,14.81481481481481,37.016524132652314,552027.424390244,14913,1
337,14.81481481481481,40.66206436171511,908146.5454545453,22334,1
784,14.893617021276597,30.44514251151989,5809450.758620691,190817,0
609,15.151515151515156,29.950286219657137,4236797.438918918,141461,0
62,15.384615384615387,24.10921371412345,1030210.8112182091,42731,4
87,15.384615384615387,29.979928588329535,192231.30210836898,6412,1
1358,15.384615384615387,27.670990063743158,1700077.9585263159,61439,4
1239,15.384615384615387,37.50227913829302,1173821.3370285714,31300,6
955,15.555555555555557,31.714031569353974,6294854.6981379315,198488,0
1379,15.625,39.26303798953297,1945601.3214953272,49553,6
863,15.625,38.47825993728708,762754.5467368418,19823,9
1381,15.625,32.68475095727708,2765620.20225,84615,6
13,15.625,29.49056257443853,2930772.1086477013,99380,0
12,15.625,19.264811801881816,714724.5178498153,37100,4
888,15.789473684210535,20.375389781998518,2802064.3536,137522,1
91,15.862068965517238,28.603760142133503,1947744.4431184388,68094,0
1275,15.873015873015873,25.696535014016934,2933670.6164102573,114166,6
641,16.129032258064512,29.068342776415466,3185541.5481818183,109588,0
1156,16.17647058823529,23.10592589071076,6007286.5664,259989,0
1181,16.279069767441854,25.486084348084347,1544609.628,60606,0
1187,16.393442622950815,23.85268632477228,2903205.8633333333,121714,6
936,16.666666666666657,9.789074889867841,111106.0,11350,4
459,16.666666666666657,18.987141822622327,697663.5391304347,36744,1
921,16.666666666666657,15.433338257638658,4046034.824299066,262162,1
1344,16.666666666666657,29.595590536272066,3714453.781435898,125507,0
859,16.666666666666657,28.72171406896552,114886.85627586208,4000,9
11,16.666666666666657,24.512431154545173,1202898.5340469952,49073,0
475,16.666666666666657,19.2801425521755,9151898.066666666,474680,6
519,16.666666666666657,18.3840355785422,8486934.872727271,461647,9
844,16.666666666666657,28.074658808933005,194950.4307692308,6944,1
1143,17.1875,30.471759624983328,2943937.6408888893,96612,6
1231,17.241379310344826,34.511693057202436,456244.5822162162,13220,0
120,17.241379310344826,26.18135221908807,1785856.2162162163,68211,0
545,17.391304347826093,37.293910113114514,816848.5132075473,21903,0
569,17.391304347826093,28.738251027758643,2474104.7692307695,86091,0
1308,17.5,25.928409615479982,1614795.422442478,62279,4
792,17.5,20.037117644191845,6686005.452631579,333681,0
1320,17.64705882352942,20.712207848281853,715917.4642758622,34565,1
189,17.64705882352942,12.383497886420487,92640.94768831167,7481,0
192,17.74193548387096,29.812723848864525,4520712.00627027,151637,0
79,17.74193548387096,37.48071959885868,1358301.2782626385,36240,6
1202,17.85714285714286,63.29049062520214,1063596.694956522,16805,6
1238,18.181818181818173,24.207188242782525,3139841.765406593,129707,6
561,18.181818181818173,20.437416021409454,6029037.726315789,295000,6
649,18.181818181818173,28.742448684992375,3337601.8837499996,116121,0
1268,18.181818181818173,38.22788297503751,1644066.5631074382,43007,6
903,18.33333333333333,20.452077395642632,5640539.781176468,275793,0
1111,18.461538461538467,36.320359731013255,2463936.883792208,67839,6
108,18.58974358974359,25.256363279769996,2060414.1163636362,81580,0
1226,18.64406779661016,37.71637778830099,1055869.9961834862,27995,0
77,18.75,22.66295609607241,554245.2542855468,24456,4
305,18.75,54.492502879289226,470651.74736842106,8637,6
80,19.04761904761905,23.573354677177843,3680059.9720089105,156111,6
1256,19.04761904761905,35.902304236351235,1361307.6697297299,37917,6
97,19.04761904761905,14.568293567782938,2733696.583113765,187647,4
979,19.04761904761905,14.52248797465265,760353.9028888888,52357,1
1020,19.230769230769226,32.68087667224711,722280.0553333333,22101,1
14,19.254658385093165,26.830831207701152,2314159.1916642245,86250,0
753,19.277108433734938,30.144289554118465,1192447.8061818182,39558,0
117,19.354838709677423,28.05709261956328,434576.30758441566,15489,0
1126,19.444444444444443,24.611239411918056,1780180.169142857,72332,0
831,20.0,43.940983681836826,178620.0986666667,4065,1
941,20.0,4.244231075274521,34289.142857142855,8079,4
876,20.0,20.871339608979003,1152932.8,55240,0
401,20.0,28.25686542488702,357731.9162790697,12660,1
836,20.0,20.45247984512733,167055.855375,8168,9
373,20.0,20.83807331554944,968637.0000000002,46484,0
421,20.0,24.630918867335886,277688.9793103448,11274,1
874,20.0,20.466470387454738,3720906.648791209,181805,6
156,20.0,22.74770312034981,993642.42,43681,9
484,20.0,30.492781333333326,548870.0639999999,18000,9
1016,20.0,26.669991462931804,269446.92375,10103,7
787,20.0,9.71051487666565,2707242.99504,278795,4
879,20.129870129870127,27.365029149846535,3016583.988333333,110235,0
1253,20.149253731343293,28.714497077983726,3869221.052264151,134748,0
8,20.15503875968993,21.029484664799917,1278781.9329818182,60809,0
1276,20.3125,36.766851410053,1980262.6169454546,53860,6
3,20.370370370370367,33.01261316435576,781903.7427977662,23685,0
619,20.689655172413794,23.918650733089876,1629960.3728571427,68146,0
111,20.91503267973856,27.969958437878123,3309908.941621621,118338,0
617,20.95238095238095,28.43751830543585,5202444.911351351,182943,0
1255,21.05263157894737,33.06256338787254,783648.8774193549,23702,6
300,21.05263157894737,22.149077627388536,1390962.075,62800,0
653,21.05263157894737,19.375283218435687,8154766.077391304,420885,0
842,21.05263157894737,24.04149957612327,175310.6149090909,7292,9
438,21.05263157894737,23.653954014185953,864835.8666666668,36562,9
1229,21.276595744680847,28.51857898587421,788424.6346434784,27646,6
1309,21.276595744680847,24.025531051081984,1394465.8477358494,58041,4
924,21.42857142857143,15.772797913877028,3978972.18413793,252268,1
867,21.42857142857143,16.824107668242103,1108927.4087368418,65913,9
592,21.568627450980387,27.580389130481095,3328787.485714285,120694,0
802,21.568627450980387,17.968215147605083,5222012.527272727,290625,0
1290,21.590909090909093,24.967308084846774,5004497.167142857,200442,0
268,21.73913043478261,26.237933496801293,2042465.6951249999,77844,1
1413,21.951219512195124,23.13502614058436,1526888.5902524272,65999,4
145,22.222222222222214,55.92381652422074,795180.7471578947,14219,6
249,22.222222222222214,17.349397124616935,3113331.9646153846,179449,1
86,22.222222222222214,15.961056256301033,174486.2669938829,10932,0
96,22.222222222222214,12.644194376298055,2540635.908612697,200933,4
465,22.222222222222214,37.28825145348837,238644.80930232556,6400,6
1338,22.535211267605632,29.301123292544776,920494.7882352942,31415,0
550,22.58064516129032,28.033869512195125,448541.912195122,16000,9
30,22.699386503067487,23.74101505257288,2229210.0903914357,93897,0
326,22.727272727272734,16.97745235795205,773289.0,45548,1
760,22.727272727272734,33.315859227230064,1665459.802769231,49990,6
1417,22.857142857142847,18.82716364805005,761577.5967272726,40451,4
395,23.076923076923066,18.874487394957985,168454.80000000002,8925,9
540,23.125,21.576253680634203,1905183.2,88300,0
1432,23.33333333333333,25.242427684385888,4055776.5833333335,160673,0
1258,23.33333333333333,19.406596104437956,5302541.88,273234,0
751,23.4375,27.575015743440233,1033649.465142857,37485,6
1443,23.4567901234568,20.01569739718136,806852.7777777778,40311,0
213,23.469387755102048,19.374670441659305,962184.8834736843,49662,0
780,23.529411764705884,25.625578224787073,3096492.370370371,120836,0
847,23.529411764705884,21.105944116698595,196348.59811764702,9303,1
1185,23.636363636363626,23.41030401754007,3032383.5000000005,129532,6
1302,23.80952380952381,23.312111035281227,2107671.270810811,90411,6
783,23.80952380952381,17.55437034449025,2512205.9399999995,143110,1
131,23.80952380952381,21.10017905521969,1406559.0359999998,66661,4
1006,23.91304347826086,21.77400075963293,586765.7724705882,26948,6
747,23.94366197183099,32.2059452827805,983279.7154285714,30531,0
1372,24.13793103448276,21.7595320895633,354441.0182068966,16289,0
1030,24.305555555555557,20.74480298254674,1411268.9469026548,68030,0
212,24.390243902439025,17.234593566466312,5640124.152187499,327256,0
624,24.444444444444443,17.70585541836204,818081.3437499998,46204,0
7,24.83660130718954,24.162430404555472,2925442.098801149,121074,0
826,25.0,27.652967602591794,537739.608,19446,9
1098,25.0,16.678055794828303,2197250.460689655,131745,6
714,25.0,11.946796038002828,104295.5294117647,8730,0
342,25.0,18.571975280384525,286379.8588235294,15420,4
543,25.0,37.72738131389818,30219.632432432438,801,1
1284,25.0,17.179494688315856,7600861.2709090905,442438,0
549,25.0,17.334590455282004,221085.3666666667,12754,9
164,25.0,13.233168798972953,170813.74285714288,12908,15
467,25.0,22.316392964726457,1058667.3658536584,47439,9
1274,25.0,46.096113681169605,787183.3333333334,17077,6
1365,25.0,17.562263124030462,2277193.285714286,129664,4
937,25.0,9.254945550615375,95751.66666666667,10346,4
85,25.0,15.700326385606836,584695.8549263842,37241,4
656,25.0,28.173954386746896,162535.54285714283,5769,7
340,25.0,58.717806645175706,108216.91764705883,1843,1
1174,25.0,91.63638448748043,2533562.758309859,27648,7
100,25.0,22.30675408664562,545533.9779430053,24456,4
872,25.0,14.854875743749838,53878.63432258066,3627,9
1235,25.0,10.480236068979355,2917372.834285714,278369,9
169,25.233644859813083,20.370565257762873,3657718.327118644,179559,0
750,25.373134328358205,21.597917115865517,777309.0369999999,35990,0
1421,25.51020408163265,18.849489476601754,903531.4285714285,47934,0
890,25.581395348837205,20.095077468907554,4078034.7363076927,202937,0
537,25.850340136054413,18.401731665228645,1347006.7578947367,73200,0
770,25.9493670886076,18.29867919469716,1469841.4063140496,80325,0
219,25.9493670886076,20.67419870973111,1987286.6767741935,96124,0
88,26.08695652173914,25.217960414937163,1929854.8566738963,76527,1
1310,26.08695652173914,20.12963007750155,1152904.4330588237,57274,4
92,26.31578947368422,46.22734046640788,498284.5028874106,10779,6
1242,26.31578947368422,30.581517003517966,730011.3923909774,23871,6
123,26.356589147286826,17.80457541057074,1089711.2334285716,61204,0
248,26.41509433962264,26.402058677920703,650625.9319999999,24643,0
1350,26.5625,24.721921613712897,3702404.4247128707,149762,0
804,26.66666666666667,15.246208247446162,2677508.6,175618,6
524,26.66666666666667,10.277484482202857,1378354.553846154,134114,9
118,26.717557251908403,22.130880307674918,3061054.840636364,138316,0
1351,26.86567164179104,21.48077460514052,872355.7374893617,40611,6
1270,26.923076923076934,32.602947298787434,604817.2753398058,18551,1
113,27.04402515723271,19.48184397386599,1957555.1643380283,100481,0
599,27.11864406779661,29.120249269118325,757010.0,25996,0
1261,27.272727272727266,30.040123888035023,1289983.0,42942,6
448,27.272727272727266,17.27024212191264,5677764.8,328760,6
1033,27.272727272727266,21.35958165736904,2530875.4710000004,118489,0
486,27.32919254658384,19.17126783008428,1655918.2588235296,86375,0
771,27.5,18.027591652975154,1494685.651539823,82911,4
1248,27.58620689655173,22.59591409890589,1762526.4915428571,78002,6
291,27.777777777777786,16.584196164338703,1503108.6193548385,90635,9
928,27.777777777777786,19.983146552180877,3579281.2946938775,179115,0
202,27.906976744186053,18.43348463720409,1376649.4996756758,74682,4
247,27.941176470588232,18.106724845644095,1168970.1560347828,64560,0
766,28.070175438596493,22.93454845876146,1486571.5620000002,64818,6
935,28.57142857142857,24.844645632475984,400868.35728,16135,6
382,28.57142857142857,17.227615752869998,826649.914285714,47984,0
10,28.57142857142857,12.433673599048625,4610070.461340056,370773,1
464,28.57142857142857,15.956244370093938,156626.49473684208,9816,9
1335,28.57142857142857,10.227009498970814,1399228.7586206899,136817,9
1440,28.57142857142857,11.660774025766639,1752544.3714285712,150294,4
707,28.57142857142857,10.60026922327786,119465.03414634147,11270,0
496,29.032258064516128,26.99717671957672,437354.2628571429,16200,9
664,29.166666666666657,11.466887102371862,567519.1764705882,49492,1
1262,29.310344827586206,22.864758788881705,1486209.3212773108,65000,6
625,29.310344827586206,16.521497910512284,917207.478,55516,0
1257,29.310344827586206,24.551727323171324,1504382.5399999998,61274,6
796,29.48717948717949,17.75896328283407,4014271.578378379,226042,0
482,29.629629629629633,16.886023376970343,6653093.2105263155,394000,0
1323,29.6875,21.663516595674967,1889058.647142857,87200,6
390,29.82456140350878,21.369768531976742,735120.0375,34400,6
259,29.936305732484087,17.466853580141734,1353139.68,77469,0
560,30.0,16.772447794117646,5702632.25,340000,6
1183,30.0,13.985485983307575,2333562.2492307685,166856,1
72,30.0,1.1281202857867743,437302.29134181363,387638,8
1067,30.069930069930066,19.29191448816575,2425012.943076923,125701,0
627,30.25210084033614,16.48863002033191,933866.5384615384,56637,0
1327,30.37974683544303,16.91008577494692,1659302.1666666667,98125,0
668,30.434782608695656,13.416867265996828,634282.4,47275,1
576,30.434782608695656,17.5595119412479,1518283.2,86465,0
942,30.434782608695656,18.021476217407105,1033243.317448819,57334,4
594,30.555555555555557,19.294342362616955,3420520.3083870965,177281,0
886,30.555555555555557,17.46552745626728,1219076.3509199999,69799,0
1026,30.555555555555557,12.683456008890898,1122232.1876666667,88480,4
411,30.769230769230774,23.850113744235557,146415.84827586208,6139,1
1057,31.034482758620683,22.846236999930312,602500.9621621622,26372,0
49,31.25,21.46669069485174,524989.3876332941,24456,4
522,31.25,20.49572926829268,163965.83414634145,8000,6
66,31.25,15.330929404942601,570939.1419694674,37241,4
987,31.304347826086953,19.958986490837205,3321075.557142857,166395,0
109,31.66666666666667,16.229839725553028,925019.7151578948,56995,0
959,31.69014084507043,18.59134462141396,2389657.0722580645,128536,0
318,31.746031746031747,16.2643489212828,1707756.636734694,105000,6
583,31.764705882352942,18.497212065769165,3811424.5349999997,206054,0
1386,31.818181818181827,17.469861989100533,1433140.1282758622,82035,1
1121,31.847133757961785,16.932857250034996,1451687.7177600001,85732,0
562,32.051282051282044,15.917823240589199,3740688.4615384615,235000,0
180,32.075471698113205,16.782453799476297,412613.40911392425,24586,0
23,32.11678832116789,18.022350876463197,2358855.3944658856,130885,0
317,32.14285714285714,24.0789352714623,387622.70000000007,16098,6
1219,32.25806451612904,20.84464943817922,1903450.0080967739,91316,6
238,32.30769230769231,20.21419439928754,909982.3892727272,45017,6
